Unit,Affiliation,Audio-video,Battalion,Bibliography Attachment,Book,Brigade,Command,Company,Competing Units,Date,Date Dissolved,Designation - Primary,Designation Secondary,Dissolve Trigger,Division,Duration of Service,Fate,Final Affiliation,Formation Date,Formation Trigger,HEBREW,IDF INDIVIDUALS,Individuals Glossary copy,Individuals1,Individuals2,Inspired by,Level of Conflict,Location,Number of Soldiers Formed,Number of Soldiers Later,Operational Attributes,Operations,Organizational Attributes,Predecessor,Predecessor Unit,Prestige,Prestige Cultivation,Profession,Reference,Reference 1,References,Regional Command,Role,Selection,Size,Size Formed,Sub-Unit,Successor,Successor Unit,TOC,Tactics,Tags,Training,Training Attributes,URL,Unit 1,Vehicles,Wars and Operations,Weapons,"Year Disbanded ",Year Established,כותרת אנליטית
Scouts,Palmach,,,,,,,,,,,"מהי עוצמת הכוחות שעומדים מולו ומהו מרחב התמרון של חייליו במהלכם בשטח., סיור בנתיבים המובילים לשטח האויב, ציוד המפקד בידע מכסימאלי לגבי מה שעתיד לעמוד לפניו: לדווח לו מהם פני השטח",,,,,,Palmach,,,הסיירים,,,,,,גבוהה,,,,סיור,,מיליציה,,,,,,,,,,Reconnaissance,,,,,The 7th Company,,,"קריאת מפה על גווניה השונים ושימוש בעזרים כגון מצפן; הכרת השבילים, הערים והכפרים, כולל דרכי הגישה אליהם ניצול מכסימאלי של תנאי השטח על מנת להגביר את אלמנט ההפתעה",,,"כושר גופני ובהגברת מיומנותו כ""סייר"", כמו מלאכת טשטוש העקבות.
",,,,,,1942,1941,
Shaked Pseudocerastes Shfifon,"Regional, Sayeret Shaked 424, Southern Command",,,,,,South,,,,,המנעה ומכות מנע תגובה לפעילות מחבלים ומיקוש בתוך שטח ישראל,פעולות תגמול והרתעה,,,,,,,גישה התקפית כנגד פעולות מחבלים בדרום הערבה,שפיפון,,,בנימין בן אליעזר,אמציה חן פצי,,נמוכה,אילת-ערבה,16 לוחמים,,,,,Sayeret Shaked 424,שקד,,,,,,,דרום,Preventive,לוחמים ותיקים בשקד,,מחלקה,,Sayeret Shaked 424,,,"ניווטי יום ולילה, הכשרה אצל שייטת 13, פעילות ממסוקים",,,,,,ארבעה ג'יפים,,,1969,1968,
Barak Battalion 12 Golani,"Golani Brigade, Infantry",,,,,,North,,,,,,,,,,,,,מלחמת השחרור,גולני גדוד ברק 12,,,,"יצחק ברושי, רפי קוצר",,,,,,,,,Barak Battalion 12 Golani,"פלוגות חי""ש, פל""מים ונוטרים מבקעת כנרות, עמק הירדן והגליל התחתון מחלקת הקומנדו",,,,,,,צפון מזרח,Reconnaissance,,Battalion,,,Barak Battalion 12 Golani,,,,,,,,,,,,0,1948,
"Central Command ",IDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Command,,,,,,,,,,,,,,,,1948,
Samoor Platoon,"Engineering, Yahalom",,,,,,South,,,,,"איתור מנהרות, איתור סליקים, הריסתן, לוחמה בתווך תת קרקעי","בט""ש",,,,,,,"הופעת המנהרות באיזור רצועת עזה ","סמו""ר סליקים ומנהרות",,,"אביב חקאני ","דימה שוורץ, ניר דרוקר",,נמוכה,,,,,,,Samoor platoon,צוות המנהרות שפעל באיזור עזה משנת 2002,,מידת היוקרה של צוות המנהרות הראשון הייתה נמוכה ביותר והחיילם,,,,,"עזה, ציר פילדלפי",Caches and tunnels,,,,,Samoor platoon,"התמזגה עם יהל""ם ב-2004",,הפעלת רובוטים,,,,,,,,,2004,2003,
The 4th Battalion,Palmach,,,,,,Center,,,,,,,,,,,Palmach,,,הגדוד הרביעי גדוד המטה,,,,,,,,,,,,מיליציה,,,,,,,,,,Reconnaissance,,,,,The 4th Battalion,,,,,,,,,,,,1948,1944,
Sayeret 401 Armored Reconnaissance Company,Armor,,,,,,Center,,,,,,,,,,,,,הוקמה תוך כדי מלחמת יום הכיפורים,"פלס""ר 401",,,,,,,,,,,,,Sayeret 401 Armored Reconnaissance Company,,,,,,,,,Armor Reconnaissance,,Company,,,Sayeret 401 Armored Reconnaissance Company,,,,,,,,,,מלחמת יום כיפור,,1974,1973,
Paratroopers Anti-Tank Company,"ATM, Paratroopers Brigade 35",,,,,,Center,,,,,,,,,,,,,"לקחי מלחמת יום הכיפורים - מהפיכת הנ""ט",עורב צנחנים,,,"אמנון דותן ","יואב גוטסמן, אמיר ברעם, נמרוד אלוני, יאיר גולן, אביב כוכבי",,,,"לוחמים ממחלקות המק""כ (מקלע כבד 0.5 מ""מ) מהפלוגות המסייעות של כל אחד מגדודי הצנחנים.",,,,,Paratroopers Anti-Tank Company,חטיבת הצנחנים,,,,,,,,ATM,,,,,Paratroopers Anti-Tank Company,"גדס""ר צנחנים",,,,,,,,,,"בתחילת הדרך טילי עורב (טאו) בהמשך הכנסת מערכת ה""זמיר"" לאיתור מטרות וזיהויין, שדרוג טילי ""העורב"" והכנסת ההאמר כפלטפורמת הלחימה",2003,1974,
Paratroopers,Infantry,https://www.202.org.il/Pages/gdud_890/history/b1948.php,,,,,Haifa,,,,"May 24, 1949",הכשרת צנחנים למשימות מעבר לקווי האויב.,,"המשמעת הרופפת ותאונות האימונים הקטלניות הביאו את המטה הכללי להחלטה כי יש להחליף את המפקד, לנפות את מרבית הקצינים והחיילים ולבנות יחידה חדשה",,,,,"September 2, 1948",מלחמת העצמאות,יחידת הצנחנים הראשונה,,,Yoel Palgi,"קרל כהנא, יצחק ספקטור, חיים גורי, דן אבני, יוסף אגסי, דב אל-עמי, שמשון בר-נוי (נוימן), חיים גורי (גורפינקל), י. גלר, יצחק גרינולד, ראובן דרוסקין, יעקב וידיסלבסקי, ב. כהן, קרל כהנא, ארתור לנדמן, י. קופרשטיך, ושמואל קריינר.",,גבוהה,"אחוזה, חיפה","לקראת סוף שנת 1948 היו ביחידה 219 חיילים מהם 28 קצינים ו- 171 בעלי דרגות אחרות ",,,,"חי""ר",Paratroopers 1948,"צנחני הישוב, יוצאי גדוד 51, פלמ""ח",נמוכה,,,,,,,Airborne,"מתנדבים בעלי רקע מגוון, רמה נמוכה.",,שלוש פלוגות לוחמות ופלוגת הדרכה,,Paratroopers 1948,צנחנים,,היחידה לא הפכה מבצעית,,,קורס צניחה,,,,,,1949,1948,
"Nesher Mobile Company 414 ",Field Intelligence,,,,,,South,,,,,ויזינט - מודיעין קרבי,,,,,,,,,פלוגה ייעודית גדוד נשר 414 הנודדת,,,,,,,,,,,,,The Nesher (Eagle) 414,,,,,,,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",רצועת עזה גבול מצרים,Visint,,Company,,,The Nesher (Eagle) 414,,,,,,,,,,,,0,2000,
Combat Engineering Reconnaissance Platoon 601,"Combat Engineering Reconnaissance Platoons, Engineering",,,,,,Center,,,,,"איסוף מודיעין הנדסי, סריקת שטח","בט""ש",,,,,,,,"מחס""ר אסף 601 ",,,,,,גבוהה נמוכה,,,16 לוחמים,,,,Combat Engineering Reconnaissance Company 601,סיירת יעל,,,פלס-סייר,,,,,Reconnaissance,"בעבר לוחמים מצטיינים בגדוד, איתור מיוחד בעת גיבוש יהלם",Platoon,,,Combat Engineering Reconnaissance Company 601,,,"לוחמה, ניווטים, קורס מודיעין וסיור, הסוואה, פריצה , חבלה וקרב מגע, במסגרת האימון המתקדם.",,,,,,האמרים,,"אמצעי תצפית תרמי ""עמית"" ו""עמית-איכון"", וכן ""ערמון"" - משקפת הנדסית עם מד טווח לייזר, אמצעים מסווגים לניתוח קרקע ורמת עבירות. ",0,1994,
Nodedet Tel-Aviv,Haganah,,,,,,Jerusalem,,,,,הגנה מקומית,,,,,,Haganah,,"מאורעות תרפ""ט",הנודדת,Eliyahu Ben-Hur (https://www.notion.so/Eliyahu-Ben-Hur-a2f965e5fcf74f0386e71500d3dfeec3?pvs=21),,אלימלך זליקוביץ (כינוי: זליק או אבנר),"אלימלך זליקוביץ ",,נמוכה,,36 לוחמים,,הגנה דינאמית,,מיליציה,,,,,,,,,תל-אביב,Preventive,,,3 יחידות,,Nodedet,,,,,,,,,"משאיות, מכונית, אופנועים",,,1933,1929,
Yamas Jerusalem,"Police, YAMAS",,,,,,Jerusalem,,,,,פעילות מסוערבת,סיוע למשטרה מאבק בפשיעה - בתוך ישראל,,,מקצועי קבע,,,,,"ימ""ס ירושלים מסתערבים ",,,,,,"נמוכה - בט""ש",,,,,,,Yamas Jerusalem,,,,,,,,"מזרח ירושלים, מחנות פליטים",,"גיבוש בן שלושה ימים אחרי שירות בצה""ל",,,,Yamas Jerusalem,,36,,,"חמישה חודשים ",,,,,,,0,1990,
Sayeret 401 Armored Reconnaissance Company,Armor,,,,,,South,,,,,,,,,,,,,מלחמת ששת הימים,"פלס""ר 401",,,,,,,,,,,,,Sayeret 401 Armored Reconnaissance Company 1968,,,,,,,,דרום תעלת סואץ,Armor Reconnaissance,,,,,Sayeret 401 Armored Reconnaissance Company 1968,,,,,,,,,,מלחמת ההתשה,,1972,1968,
Intelligence Unit 805,Intelligence,,,,,,AMAN,,,,,לשכה לשירותים אסטרטגיים שתפעל במשימות של ריגול וחבלה,,,,,,,,הקמת חיל המודיעין,יחידה 805 (מודיעין 18) יחידת הסוכנים,,,,אברהם דר,,,משמר הים,,,,,,,מסתערבים,,,,,,,,,,,,,,"יחידה 131, יחידה 132",,,,,,,,,,,,1949,
Guards of the Trains and the Ports,"British Army, Haganah",,,,,,North,,,,,שמירה על מסילות הברזל בשיתוף עם הצבא הבריטי במקרה שהמרד הערבי יתחדש. בעיקר מסילת הברזל בין חיפה ללוד,,,,,,,,המרד הערבי,"נוטרי מסילות הברזל, שדות התעופה והנמלים",,,,,,נמוכה,,"723 מגויסים, מרביתם לא מההגנה. 434 נקראו לשירות ב-1938",,הגנה דינאמית,,מיליציה,Guards of the Trains and the Ports,,,,,,,,,Preventive,,,,,Guards of the Trains and the Ports,,,,,,,,,,,,1939,1937,
Egoz 621,"Golani Brigade, Infantry",,,,,Golani,North,,,,,לוחמת אנטי גרילה בתוואי השטח של דרום לבנון,"בלוחמה בגזרת הר חרמון, בט""ש גדה מערבית ועזה",,,,"Merged, The 89th Oz Brigade",OZ 89 Brigade,,המאבק עם חיזבאללה בדרום לבנון,יחידת אגוז אנטי גרילה ולוחמה זעירה,,," ארז צוקרמן"," משה (צ'יקו) תמיר",,נמוכה,,,,,,,Egoz Reconnaissance Unit,"סיירת אגוז, גולני",,,,,,,צפון,Commando,,Battalion,,,"""The 89th """"Oz"""" Brigade""",,37,"טירונות חי""ר ואימון מתקדם (7 חודשים); שלב מכין (חודשיים); שלב לחימה בסיסי; קורס צניחה (שבועיים); שלב לחימה מתקדם; הכוללים לוחמת שטח בתנאים שונים (אזורים מיוערים, לחימת סלעים, הסוואה ועוד, אימונים בתנאים קיצוניים בחרמון היחידה הוכשרה בבסיס אלייקים בבית ספר לוחמת גרילה שהוקם עבורה, פורק עם היציאה מלבנון והוקם מחדש אחרי מלחמת לבנון השניה",,16 חודשים,,,,,,,2015,1995,
"Palsar 500 ",Armor,,,,,,Center,,,,,"איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות, תיחת תאי שטח לחטיבת השיריון","בט""ש",,,,,,,"עומס הפעילות על פלס""ר 7","פלס""ר 500 בהמשך פלס""ר 401",,,,,,,,,,,,,Palsar 500," Palsar 7",,,,,,,,Armor Reconnaissance,"גיוס לשריון, פרופיל וקב""א גבוהים, גיבוש",Company,,,Refaim,,,"טירונות חי""ר עם הנח""ל, אימון מתקדם, הכשרה ביחידה לוחמה בשטחים שונים, ניווט, הסוואה, איסוף מודיעין קרבי, קורס סיור ייעודי ",,14 חודשים,,,,"ג'יפים - חמישיות, האמרים","האינתיפאדה השניה, מלחמת לבנון השניה","חי""ר, אמצעי תצפית וסיור",2003,1992,
LOTAR Eilat Counterterrorism (Res) 7707,"CT, Regional, Southern Command",,,,,,South,,,,,,,,,,,,,,"לוט""ר אילת",,,,,,,,,,,,,LOTAR Eilat Counterterrirism (Res),,,,,,,,,CT,,,,,LOTAR Eilat Counterterrirism (Res),,,,,,,,,,,,0,1989,
Target Field Intelligence Battalion 5707,Air force,,,,,,Palamachim,,,,,הערכת נזק של מתקפות אויר בזמן אמת,,מיזוג עם שלדג,,,,Command of the Special Air Forces,,,"גדוד נשר 5707 תצ""מ תצפית מטרות",,,,,,,,,,,,,Battalion for Air Assignments (Shaldag) 5101,,,,,,,,"כא""מ - כוחות אויר מיוחדים",BDA,,Battalion,,,Battalion for Air Assignments (Shaldag) 5101,,,,,,,,,,,,2003,1996,
Reconnaissance Platoon Golani,"Golani Brigade, Infantry",,,,,,North,,,,,,יחידת ההתערבות של פיקוד צפון,,,,,,,,סיירת גולני,Uri Ilan (https://www.notion.so/Uri-Ilan-7ffa7de275854c27a4976afd384060fa?pvs=21),,,"צבי עופר, חיים ארדיטי",,,,,,,,,Reconnaisance Platoon Golani,פליטי חטיבת אלכסנדרוני,,,,,,,צפון,Reconnaissance,,Company,,,Reconnaisance Platoon Golani,101,,"קורס לוט""ר, מו""ס, צניחה, אימוני קרב מגע, ניווטים רבים, ולוחמת חי""ר",,20 חודשים עד 2002 מאז 16 חודשים,,,,,,,2001,1948,
Counter-NBC and  Company,"Engineering, Yahalom",,,,,,General,,,,,"יחידת האב""כ הסדירה הראשונה בצה""ל",,,,,,,,לקחי מלחמת המפרץ,אנקור,,,,,,,,,,,,,Counter-NBC and  Company,,,,,,,,,,,,,,Counter-NBC and  Company,,,,,,,,,,,,0,1993,
Intelligence 13 Wing,Intelligence,,,,,,AMAN,,,,,,לחבל בהכנות מדינות ערב למלחמה ובכוננותן המלחמתית בימי שלום ומלחמה,,,,,AMAN,,"ענף מבצעים שמאחד את היחידות לפעולות מיוחדות, אמור היה לכלול את שייטת 13 וטייסת 13 שלא הוקמה",ענף 13,Abraham Dar (https://www.notion.so/Abraham-Dar-3cc35ba8bfcc408cb986dfca3bb9d10f?pvs=21),Abraham Dar,חיים יערי ולנדר,,"הוקם על פי המודל של ה-SOE - מדור לחתרנות מבצעית ללוחמה זעירה בעומק ארצות האויב, ומדור ללוחמה פסיכולוגית/תעמולה שחורה",,,,,,,,Intelligence 13 Wing,,,,,,,,,Special Operations Command,,,,,Intelligence 13 Wing,,,,,,,,,,,,1950,1950,
Unit 755,Artillery,,,,,,,,,,,,,,,,,,,,"נ""ט 755",,,,,,,,,,,,,Unit 755,,,,,,,,,ATM,,,,,Unit 755,,,,,,,,,,,,1970,1956,
Navy,IDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corps,,,,,,,,,,,,,,,,1948,
Special Operations Division,Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,
Golani Anti-Tank Company,"Golani Brigade, Infantry",,,,,,North,,,,,"לוחמה נגד טנקים ונגד רק""ם טאו","יחידת חיל רגלים מובחרת למשימות התקפיות מורכבות, בט""ש.",,,,,Golani Brigade,,"לקחי מלחמת יום הכיפורים - מהפיכת הנ""ט",עורב גולני,,,מיקי מוסברג,,,,,,,,,,,,,,,,,,,ATM,ריכוז לוחמים מהפלוגות המסייעות של כל גדוד בחטיבה,,,,Golani Anti-Tank Company 1974,"פלחה""ן גולני, גדס""ר גולני",,,,,,,,,,,1975,1974,
The Balkan Platoon,Palmach,,,,,,,,,,,"בולגריה, הצלה וגרילה נגד הנאצים, יוגוסלביה והונגריה במטרה ליצור קשר עם מתחרות יהודיות ולקחת חלק במבצעי מודיעין, סלובקיה, עבור הפלמ""ח הצנחת עולים ואנשי הגנה ברומניה",עבור הצבא הבריטי - הברחת טייסים בריטים ואמריקאיים ממחנות שבויים לאיסטנבול,,,,,"British Army, Palmach",,מלחמת העולם השניה,המחלקה הבלקנית,,,שמואל גבעון (הקר),,,גבוהה,,,,מודיעין/לוחמה זעירה,,מיליציה,,"פלמ""ח",,,,,,,"ההגנה, הצבא הבריטי",Sabotage,,,,,The Balkan Platoon,צנחני היישוב,16,הכשרה בצניחה ולוחמה זעירה על-ידי המדור למבצעים מיוחדים של הצבא הבריטי,,,,,,,,,1945,1943,
Meitar 427,ATM,,,,,,North,,,,,,,,,,,,,,מיתר,,,,,,,,,,,,,Moran  427,,,,,,,,,ATGM,,,,,Meitar 427,,,,,,,,,,,,2017,1987,
"Southern Command ",IDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Command,,,,,,,,,,,,,,,,1948,
Unit 755,Artillery,,,,,,,,,,,,,,,,,,,,"נ""ט 755",,,,,,,,,,,,,Unit 755,,,,,,,,,ATM,,,,,Unit 755,,,,,,,,,,,,1973,1973,
Snowy Slope,"Engineering, Yahalom",,,,,,General,,,,,פריצה חמה וקרה,,,,,"Merged, Yahalom",,,כשלון החילוץ של נחשון וקסמן,מדרון מושלג,,,,,,,,,,,,,Snowy Slope,,,,,,,,,Hacking Unit,,,,,Snowy Slope,,,,,,,,,,,,0,1994,
Unit 101,"Infantry, Jerusalem Brigade",,,,,,Center,,,,,פעולות תגמול,,,,,,,,הסתננויות,יחידה 101,"Arik Sharon (https://www.notion.so/Arik-Sharon-7f1bad320bb64b8abc3e8d1af9f7016a?pvs=21), Shlomo Baum (https://www.notion.so/Shlomo-Baum-f2dbe97792ff44d1afe24d556de17c90?pvs=21)","Meir Har Zion, Arik Sharon",אריאל שרון,,,נמוכה,,,,,,מיון/הכשרה,Unit 101,החטיבה הירושלמית,גבוהה,גבוהה,,,,,,Retaliations,,Company,,,Airborne   (890),צנחנים,20,,,,,,,,,,1954,1953,
Special Operations Technological Unit 81,"Intelligence, Special Operations Division",,,,,,AMAN,,,,,,,,,,,AMAN,,,מבצעים מיוחדים,Yossi Langotsky (https://www.notion.so/Yossi-Langotsky-8b8b3e4877ff4e1cb64f69b7dc377c17?pvs=21),,,,,,,,,,,,Sayeret Matkal 262 269,,,,,,,"Margalit, Dan; Bergman, and Ronen. 2011. The Pit. Or Yehudah: Kineret : Zemorah-Bitan.",,,,,,,,,,,,,,,,,,,0,1969,
Boom Defense,British Army,,,,,,,,,,,"הגנת הנמל מצוללות, סירות נפץ ואנשי קומנדו ימי איטלקים",הברחת נשק עבור ההגנה,,,,,,,מלחמת העולם השניה,יחידת הגנת הנמל - Boom Defense,,,דוד הכהן,"מוריס אריה, לובה אליאב",,גבוהה,נמל חיפה,12 איש,,הגנה דינאמית,,מיליציה,Boom Defense,"הגנה, צבא בריטי",,,,,,,,,,,,,Boom Defense,,,"ימאים מיוצאי הכשרת הכ""ג, חפרים",,,,,,סירות,,פצצות עומק,0,1941,
Duvdevan 217,"89 Oz Brigade, Regional",,,,,,Center,,,,,,,,,,"Merged, The 89th Oz Brigade",OZ 89 Brigade,,,"217 דובדבן ",Uri Bar-Lev (https://www.notion.so/Uri-Bar-Lev-e277ff5c4da14c198cd27607ae3704bf?pvs=21),,,,,,,,,,,Judea and Samaria Division 877th Division,Duvdevan (Unit 217),,,,,,,,,CT,,,,,"""The 89th """"Oz"""" Brigade""",,36,,,,,https://duvdevanfoundation.org/en,,,,,,1986,
Special Night Squad,"British Army, Haganah",,,,,,North,,,,,הגנה דינאמית,הקמת צבא יהודי,האגרסיביות של וינגייט,,,,Haganah,,המרד הערבי,פלוגות הלילה המיוחדות,Israel Carmi (https://www.notion.so/Israel-Carmi-e5d8ed81108542f8aa104028d0090221?pvs=21),Orde Charles Wingate,אורד צ'רלס וינגייט,,לורנס איש ערב מהוגי רעיון הפעולות המיוחדות במסגרת המרד הערבי נגד האימפריה העות'מאנית,נמוכה,,"20 בריטים 24 אנשי פו""ש מיבנאל, מעוז ונהלל",37 חיילם בריטיים 75 נוטרים יהודים,הגנה דינאמית,,מיליציה,Pipeline Defenders Platoon,"מחלקת משמר צינור הנפט פלוגת האש ",,,,,,,איזור הצפון,Preventive,,,,,Palmach,,15,"פלגות (squads) שיפעלו בשיטת המארב הנייד. לשם הפעלתן היעילה היה צורך במודיעין איכותי וממוקד, בשיטות הסוואה שיאפשרו לשמר את ממד ההפתעה, קריאת מפות, מטווחים, תנועה בלילה, יצירת מגע עם האויב וניתוק מגע",,,,,,ארבע משאיות,,שני מקלעים,1938,1938,
Multi-Dimensional Ghost Unit 888,99 Division - The Maneuver Formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,
Polar Bear Unit 88,Armor,,,,,,South,,,,,הפעלת טנקי הטירן הסובייטיים שנלקחו שלל במלחמת ששת הימים טנקים קלים שניתן היה להנחית אותם מרחפות ולהסוות אותם כטנקים מצריים,,,,,,,,טנקי שלל מלחמת ששת הימים,דב לבן בהמשך גדוד 88 בחטיבה 274,,,יוסלה יודביץ,שלמה באום,,,,,,,,,Polar Bear Unit 88,"פלס""ר 7 היחידה השתייכה לחטיבה 8",,,,,,,,Armor  Commando,,,,,Polar Bear Unit 88,,,,,,,,,טנק טירן,מלחמת ההתשה מלחמת יום הכיפורים,,1974,1968,
"Nahal Anti-Tank Company ","Infantry, Nahal Brigade 933",,,,,,Center,,,,,,,,,,,,,,"פלנ""ט גזית - בהמשך עורב נח""ל",,,,,,,,,,,,,Nahal Anti-Tank Company,,,,,,,,,ATM,,,,,Nahal Anti-Tank Company,,,,,,,,,,,,0,1991,
Tactical Brigade Border Police,"Border Police, Police",,,,,,,,,,,,,,,,,,,,החטיבה הטקטית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,
"Sayeret Givati ","Givati Brigade 84, Infantry",,,,,,South,,,,,,"אימצה את המורשת של שקד, וכמוה ביקשה להתמחות בפיקוד הדרום התמחות מיוחדת בעזה","הקמת גדס""ר גבעתי",,,,,,"לקחי מלחמת לבנון הצורך בחטיבת חי""ר נוספת",סיירת גבעתי,,,,"אילן סופר, אייל שליין, עמית ווינר, דן שוורצפוקס, עמוס גולדמן, אסף שביט, אייל אייזנברג, רז שגיא, בועז זלמונביץ, מוני כץ, מני מוזס, אלדד פלד, טל חרמוני, עופר וינטר, חזי נחמה, גור שרייבמן, לירון ארוך, אמיר זיגדון, ירון סימסולו, חנן בוחבוט, מוטי חיים",,,,,,,,,Sayeret Givati,,,,,,,,דרום,Reconnaissance,,Company,,,Sayeret Givati,,,"אימוני חי""ר מתקדמים, לוחמה בטרור, ניווטים, צניחה, סיור",,16 חודשים,,,,,,,2002,1983,
Maritime Demolition Unit,"Palmach, Palyam",,,,,,Navy,,,,,הפעלת סירות נפץ,,נטמעה בשייטת 13,,,,,,מלחמת העצמאות,יחידת החבלנים – קיסריה,,,יוחאי בן נון,"יגאל וייס,שאול אורן, אברמוב זלמן, ארד שרגא, ברוקמן יצחק, הוכברג צבי, וינטרוב דב, ורדי יעקב, זלינגר חנוך, טובלין זרובבל, סגל שלמה, ריטוב יעקב ושביט אברהם",הקומנדו הימי האיטלקי הפשיסטי המדריך קפריוטי,גבוהה,קיסריה,12 איש,,,,מיליציה,Maritime Demolition Unit,החוליה לחבלה ימית,,,מפעילי סירות נפץ,,,,,Naval,,,,,Flotilla 13,"השירות הימי, שייטת 13",,הפעלת סירות טורפדו קטנות,,,,,,סירות,,סירות נפץ שנרכשו באיטליה,1948,1948,
"Israel Police Special Patrol Unit ",Police,,,,,,Valleys,,,,,הפרות סדר על רקע בטחוני או פלילי,,,,מקצועי,,,,,"יס""מ",,,שמעון קורן,,,"מנמוכה בט""ש",,,,,,,Israel Police Special Patrol Unit,"יל""ס, יחידות להשלטת סדר, מקבילה לסיירת מג""ב",,,,,,,כלל ארצי,CT,"בוגרי יחידות קרביות, מבדקים מיונים",,,,Israel Police Special Patrol Unit,,,"קורס שוטרים, קורס לוחמי יס""מ",,,,,,"רכבי וואן מדגמי שברולט ""סוואנה"" שעברו הסבה‏, אופנועים, ג'יפים ממוגני ירי, טרקטורונים",,"רובי סער M16, אקדחי ""יריחו""‏, אמצעים לפיזור הפגנות‏, סולמות‏, אמצעי פריצה",0,1988,
Military Police Force 100,Military Police,,,,,,General,,,,,"כוח התערבות מהירה, שיטור בבתי סוהר צבאיים","בזמן שגרה הצוות מסייע במשימות כגון ספירת אסירים, חיפוש בתאים לפי מודיעין - בקרב אסירים בטחוניים מסוכנים (מחבלים).",,,,,,,,כוח 100,,,,,,"נמוכה - בט""ש",,,,,,,Military Police Force 100,,,,,,,,לפי מיקום מתקן הכליאה,,"יחידה התנדבותית, מיון, גיבוש",,,,Military Police Force 100,,,"טירונות יחידה או אימון הקמה, קורס לוט""ר, מכי""ם, אמצעי אל הרג",,בין 14 ל-18 חודשים,,,,,,,2006,1990,
Bomb Disposal Unit,Engineering,,,,,,General,,,,,,,,,,,,,מלחמת השחרור,"יחס""פ",,,"עמנואל שחר, רודי (ראובן) שפלן",מרדכי מרון,,גבוהה,,,,,,,Bomb Disposal Unit 1948,סלקי פצצות יהודים בצבא הבריטי,,,,,,,,Bomb disposal,,,,,Bomb Disposal Unit 1948,"סיירת יעל, יהלם, מחס""רים",,,,,,,,,,,1970,1948,
Kfir Brigade,99 Division - The Maneuver Formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brigade,,,,,,,,,,,,,,,,2005,
135 Armored Reconnaissance Battalion,"7 Armored Brigade, Armor",,,,,,North,,,,,"איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות, פתיחת תאי שטח לחטיבת השיריון","הכוונת מסק""רים וכוחות, תקיפת יעדים ועוד",,,,,,,,"פלס""ר 7",,,,,,גבוהה,,,,,,,9 Armored Brigade,"פלס""ר 7",בינונית,,,,,,"מטכ""לי",Armor Reconnaissance,"גיוס לשריון, פרופיל וקב""א גבוהים, גיבוש",,,,Palsar 7 Armored Reconnaissance Company,"פלס""ר 401, 188",,"טירונות חי""ר עם אגוז, אימון מתקדם, הכשרה ביחידה לוחמה בשטחים שונים, ניווט, הסוואה, איסוף מודיעין קרבי, קורס סיור ייעודי ",,14 חודשים,,,,"ג'יפים - חמישיות, האמרים","במלחמת לבנון השניה היחידה הכווינה מסק""רים ולא טנקים","חי""ר, אמצעי תצפית וסיור",1956,1954,
Unit 7555 - 5515,"98 Division - The Fire Formation, Central Command",,,,,,South,,,,,,,,,,,,,,יחידה 7555 נהיגה קרבית 5155,,,Rotem Shani,,,,,,,,,,Unit 252,,,,,,"בוחבוט, אמיר. 2015. “הצצה: היחידה הסודית בצה""ל שחדרה לבונקר חיזבאללה בלבנון.” Walla! April 23, 2015. https://news.walla.co.il/item/2848354?fbclid=IwAR0PuTe-LYDgEwN27EGC69x8zOQ5Ca5p34D9FZndThEjoe56XN49XgzSTRQ.",,,Combat Driving,,,,,,,,,,,,,,,,,,1988,
Unit 5707,Air force,,,,,,Air Force,,,,,,,,,,,,,," 5707 תצמ תצפית מטרות",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,1974,
Combat Engineering Reconnaissance Platoons,Engineering,,,,,,,,,,,"איסוף מודיעין הנדסי, סריקת שטח","בט""ש",,,,,,,,,,,,,,גבוהה נמוכה,,,16 לוחמים,,,,,,,,פלס-סייר,,,,,,"בעבר לוחמים מצטיינים בגדוד, איתור מיוחד בעת גיבוש יהלם",Platoon,,,,,,"לוחמה, ניווטים, קורס מודיעין וסיור, הסוואה, פריצה , חבלה וקרב מגע, במסגרת האימון המתקדם.",,,,,,האמרים,,"אמצעי תצפית תרמי ""עמית"" ו""עמית-איכון"", וכן ""ערמון"" - משקפת הנדסית עם מד טווח לייזר, אמצעים מסווגים לניתוח קרקע ורמת עבירות. ",0,1993,
