ID,Name copy,Notes,Status,Year Established,Year Disbanded ,Individuals,References,Predecessor,Successor,Affiliation,Location,Branch,Command,Rrole,Bibliography Attachment,Bibliography,Audio-video,תאריך הקמה,מאפיינים מבצעיים,מאפיינים ארגוניים,נסיבות הקמה,נסיבות פירוק,ייעוד עיקרי,ייעוד משני,פיקוד,זרוע,יחידת אם - לניתוח רשתות,יחידות ממשיכות - לניתוח רשתות,יחידות מתחרות,מייסד היחידה עבור ניתוח רשתות ובדיקת השערת הכרימזה,מפקדים בולטים עבור ניתוח רשתות ובדיקת השערת הכרימזה,מקור השראה,טיפוח תדמית תרבות ארגונית,מידת יוקרה תרבות ארגונית,INDIVIDUALS copy,Field 37
General Staff Visual Intelligence Unit - Lebanon Company,General Staff Visual Intelligence Unit - Lebanon Company,"יחידת תצפיות מטכ""לית (ית""מ) פלוגה בלבנון",,1985,,,,General Staff Visual Intelligence Unit - Lebanon Company,General Staff Visual Intelligence Unit - Lebanon Company,,,Field Intelligence,North,Visint,Field Intelligence - Daniel Asher 141.jpg (https://dl.airtable.com/QlfCi3fjS66hqRdZ6Ymo_Field%20Intelligence%20-%20Daniel%20Asher%20141.jpg),,,,,,הצורך באיסוף מודיעיני ויזינטי בדרום לבנון,,,,,,,,,,,,,,,
Duvdevan 217,Duvdevan 217,דובדבן,,1986,,,,Duvdevan (Unit 217),Duvdevan (Unit 217),,,Regional,Center,CT,,,,,,,,,,,,,,,,,,,,,,
Maglan 212,Maglan 212,מגלן 212,,1986,,,,Maglan 212,Maglan 212,,,ATM,Center,ATGM,,,,,,,לקחי מלחמת יום הכיפורים,,"נ""ט",,,,,,,,,,,,,
Meitar 427,Meitar 427,מיתר,,1987,2017,,,Moran  427,Meitar 427,,,ATM,North,ATGM,,,,,,,,,,,,,,,,,,,,,,
Shimshon 367,Shimshon 367,שמשון,,1987,1996,,,Shimshon (Unit 367),Shimshon (Unit 367),,,Regional,South,CT,,,,,,,,,,,,,,,,,,,,,,
Israel Police Special Patrol Unit ,Israel Police Special Patrol Unit ,"יס""מ",,1988,,,,Israel Police Special Patrol Unit,Israel Police Special Patrol Unit,,,Police,Valleys,CT,,,,,,,,,הפרות סדר על רקע בטחוני או פלילי,,כלל ארצי,משטרת ישראל,"יל""ס, יחידות להשלטת סדר, מקבילה לסיירת מג""ב",,,שמעון קורן,,,,,,
Unit 7555,Unit 7555,יחידה 7555 נהיגה קרבית,,1988,,,,Unit 7555,,,,ATM,South,Combat Driving,,,,,,,,,,,,,,,,,,,,,,
LOTAR Eilat Counterterrirism (Res) 7707,LOTAR Eilat Counterterrirism (Res) 7707,"לוט""ר אילת",,1989,,,,LOTAR Eilat Counterterrirism (Res),LOTAR Eilat Counterterrirism (Res),,,Regional,South,CT,,,,,,,,,,,,,,,,,,,,,,
Gideon Sword Police 33 - Jerusalem District,Gideon Sword Police 33 - Jerusalem District,גדעונים יחידה 33,,1990,,,,Gideon Sword Police - Jerusalem District,Gideon Sword Police - Jerusalem District,,,Police,Jerusalem,,,,,,,,,,,,,,,,,,,,,,,
Military Police Force 100,Military Police Force 100,כוח 100,,1990,2006,,,Military Police Force 100,Military Police Force 100,,,Military Police,General,,,,,,,,,,"כוח התערבות מהירה, שיטור בבתי סוהר צבאיים","בזמן שגרה הצוות מסייע במשימות כגון ספירת אסירים, חיפוש בתאים לפי מודיעין - בקרב אסירים בטחוניים מסוכנים (מחבלים).",לפי מיקום מתקן הכליאה,משטרה צבאית,,,,,,,,,,
Yamas Aravah,Yamas Aravah,"ימ""ס ערבה בעבר עזה מסתערבים ",,1990,,,,Yamas Aravah,Yamas Aravah,,,Police,South,,,,,,,,,,צליפה מרדפים מוסקים,סיוע למשטרה מאבק בפשיעה - בתוך ישראל,דרום,"מג""ב כפיפות לצה""ל","השראה: שקד, זיקית, רימון",,,,,,,,,
Yamas Jerusalem,Yamas Jerusalem,"ימ""ס ירושלים מסתערבים ",,1990,,,,Yamas Jerusalem,Yamas Jerusalem,,,Police,Jerusalem,,,,,,,,,,פעילות מסוערבת,סיוע למשטרה מאבק בפשיעה - בתוך ישראל,"מזרח ירושלים, מחנות פליטים",,,,,,,,,,,
Counter-NBC and purifiers,Counter-NBC and purifiers,אנקור,,1991,,,,Counter-NBC and purifiers,Counter-NBC and purifiers,,,Engineering,Center,Reconnaissance,,,,,,,"במהלך מלחמת המפרץ קבלת נגמ""שי שועלית מגרמניה","החיילים שהפעילו את הנגמ""שים השתחררו ולא נותרו מפעילים בצבא","יחידת גו""ז",,"מטכ""לי",,,"התמזגה עם יהל""ם ב-2004",,,,,,,,
Nahal Anti-Tank Company ,Nahal Anti-Tank Company ,"פלנ""ט גזית - בהמשך עורב נח""ל",,1991,2001,,,Nahal Anti-Tank Company,Nahal Anti-Tank Company,,,ATM,Center,ATM,,,,,,,,,,,,,,,,,,,,,,
Yamas West Bank,Yamas West Bank,"ימ""ס איו""ש מסתערבים ",,1991,,Eli Avram,Abir 21,,,,,Police,,,,,,,,,האינתיפאדה הראשונה,,"בט""ש איסוף מודיעין, מעצרים, חיסולים וטיפול בהפרות סדר שונות",סיוע למשטרה מאבק בפשיעה - בתוך ישראל,גדה מערבית,"מג""ב כפיפות לצה""ל ולשב""כ","ימ""מ",,,אלי אברהם,,,,,Eli Avram,
Nahal Engineer Company,Nahal Engineer Company,"פלחה""ן ספיר נח""ל",,1992,,,,Nahal Engineer Company,Nahal Engineer Company,,,Infantry,Center,,,,,,,,,,,,,,,,,,,,,,,
Palsar 500 ,Palsar 500 ,"פלס""ר 500 בהמשך פלס""ר 401",,1992,2003,,,Palsar 500,Palsar 500,,,Armor,Center,Armor Reconnaissance,,,,,,,"עומס הפעילות על פלס""ר 7",,"תיחת תאי שטח לחטיבת השיריון, איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות","בט""ש",,שריון,"פלס""ר 401, פלס""ר 7","פלס""ר 188",,,,,,,,
 Nitzan Target Field Intelligence Unit , Nitzan Target Field Intelligence Unit ,"יחידת מודיעין מטרות יחמ""מ",,1993,2000,,,Nitzan Target Field Intelligence Unit,Nitzan Target Field Intelligence Unit,,,Field Intelligence,North,Intelligence Field,,,,,,,מתן מודיעין בזמן-אמת לכוחות הפועלים והכוונת אש לעבר אויב בדרום לבנון,טמיעה בגדוד שחף 869 באוגדת הגליל,"ביצוע משימות מודיעין קרבי מיוחדות הכוללות ריגול ואיתור מחבלים, משת""פים ואמצעי לחימה של ארגוני הטרור, בניית בנק מטרות לעת חירום ומלחמה וכמו כן חיסול מטרות תוך הפעלת כוחות אש שונים בשימוש צה""ל.",,צפון,איסוף קרבי,,,,סגן-אלוף יוסי גרינפלד,,,,,,
Combat Engineering Reconnaissance Company 603,Combat Engineering Reconnaissance Company 603,"מחס""ר להב 603 ",,1993,,,,Combat Engineering Reconnaissance Company 603,Combat Engineering Reconnaissance Company 603,,,Engineering,North,,,,,,,,,,"סריקת שטח, איסוף מודיעין הנדסי","בט""ש",,הנדסה,,,,,,,,,,
Counter-NBC and  Company,Counter-NBC and  Company,אנקור,,1993,,,,Counter-NBC and  Company,Counter-NBC and  Company,,,Engineering,General,,,,,,,,לקחי מלחמת המפרץ,,"יחידת האב""כ הסדירה הראשונה בצה""ל",,,,,,,,,,,,,
Combat Engineering Reconnaissance Company 601,Combat Engineering Reconnaissance Company 601,"מחס""ר אסף 601 ",,1994,,,,Combat Engineering Reconnaissance Company 601,Combat Engineering Reconnaissance Company 601,,,Engineering,Center,Reconnaissance,,,,,,,,,"סריקת שטח, איסוף מודיעין הנדסי","בט""ש",,הנדסה,סיירת יעל,,,,,,,,,
Snowy Slope,Snowy Slope,מדרון מושלג,,1994,,,,Snowy Slope,Snowy Slope,,,Engineering,General,Hacking Unit,,,,,,,כשלון החילוץ של נחשון וקסמן,,פריצה חמה וקרה,,,,,,,,,,,,,
Egoz 621,Egoz 621,יחידת אגוז אנטי גרילה ולוחמה זעירה,Elite,1995,2015,,,Egoz Reconnaissance Unit,Egoz Reconnaissance Unit,,,Regional,North,Visint,,,,,,,המאבק עם חיזבאללה בדרום לבנון,,לוחמת אנטי גרילה בתוואי השטח של דרום לבנון,"בלוחמה בגזרת הר חרמון, בט""ש גדה מערבית ועזה",צפון,"חי""ר גלוני","סיירת אגוז, גולני",,, ארז צוקרמן, משה (צ'יקו) תמיר,,,,,
Yahalom Combat Engineering Unit for Special Operations,Yahalom Combat Engineering Unit for Special Operations,"יהל""ם יחידת הנדסה למשימות מיוחדות",Elite,1995,,,,Yahalom Combat Engineering Unit for Special Operations,Yahalom Combat Engineering Unit for Special Operations,,,Engineering,General,COIN,,,,,,,צורך ביחידת עלית של חיל ההנדסה שמשלבת תחומי התמחות,,"ביצוע הריסות מדויקות, חבלה בתשתיות האויב, הכנת מטענים ופצצות, טיפול בחומרי נפץ (כולל פיצוץ מדויק), נטרול מטעני חבלה, הנדסה ופריצה בים וביבשה, פינוי שדות מוקשים, איתור והשמדת סליקים, מעברים תת-קרקעיים ומנהרות הברחה ותופת, וביצוע שאר משימות מיוחדות.",,הנדסה,הנדסה,"יחס""פ וסיירת יעל",,,,,,,,,
 Target Field Intelligence Unit 5707, Target Field Intelligence Unit 5707,"גדוד נשר 5707 תצ""מ תצפית מטרות",,1996,2003,,,Battalion for Air Assignments (Shaldag) 5101,Battalion for Air Assignments (Shaldag) 5101,Command of the Special Air Forces,,Air force,Palamachim,BDA,,,,,,,,מיזוג עם שלדג,הערכת נזק של מתקפות אויר בזמן אמת ,,"כא""מ - כוחות אויר מיוחדים",אויר,,,,,,,,,,
"Matilan Border Patrol - intelligence, observation, interception, mobile warfare","Matilan Border Patrol - intelligence, observation, interception, mobile warfare","מתיל""ן ",,1996,,,,"Matilan Border Patrol - intelligence,observation,interception,mobile warfare","Matilan Border Patrol - intelligence,observation,interception,mobile warfare",,,Police,North,,,,,,,,,,"מארבים, תצפיות, יירוט ולוחמה ניידת. איסוף מודיעין מבצעי בתחומי פח""ע.",איסוף מודיעין מבצעי בתחום הפלילי,"רמון, ירושלים שפלה","מג""ב כפיפות לצה""ל ולשב""כ",מושווה ליחידת אגוז,,,,,,,,,
Visual Intelligence Battalion 1996,Visual Intelligence Battalion 1996,,,1996,,,,Visual Intelligence Battalion 1996,Visual Intelligence Battalion 1996,,,Field Intelligence,,SAM,,,,,,,,,,,,,,,,,,,,,,
Stinger Anti Aircraft Unit,Stinger Anti Aircraft Unit,ברקן,,1998,2012,,,Stinger Anti Aircraft Unit,Stinger Anti Aircraft Unit,,,,General,SAM,,,,,,,לקחי מלחמת המפרץ,,"יחידת האב""כ הסדירה השניה בצה""ל",,גוש דן,פיקוד העורף,,,,,,,,,,
Almagor,Almagor,,,2000,,,,Almagor,Almagor,,,Field Intelligence,North,Visint,,,,,,,,,,,,,,,,,,,,,,
The Nesher Eagle 414 ,The Nesher Eagle 414 ,פלוגה ייעודית גדוד נשר 414 הנודדת,,2000,,,,The Nesher (Eagle) 414,The Nesher (Eagle) 414,,,Field Intelligence,South,Visint,,,,,,,,,ויזינט - מודיעין קרבי,,רצועת עזה גבול מצרים,איסוף קרבי,,,,,,,,,,
The Netz Accipiter 636 ,The Netz Accipiter 636 ,פלוגת נץ 636 ,,2000,,,,The Nitzan 636,The Nitzan 636,,,Field Intelligence,Center,Visint,,,,,,,,,ויזינט - מודיעין קרבי,,גדה מערבית,איסוף קרבי,,,,,,,,,,
The Shahaf Seagull Battalion,The Shahaf Seagull Battalion,"שחף - פלגת יחמ""ם ב' ""פלגת מוביל"" מדלגת 869 שחף",,2000,,,,The Shahaf (Seagull) Battalion,The Shahaf (Seagull) Battalion,,,Field Intelligence,North,Visint,,,,,,,"הפיכת צס""מ ליחידה סדירה",מיזוג עם שחף,"ויזינט - מודיעין קרבי סגירת מעגלי אש, איתור מחבלים, משגרי קטיושות, מטרות תשתית וסיוע למערכות הגנה על גדודים שפועלים בשטח","איתור חדירות, איסוף מידע על היערכות חיזבאללה","צפון אוגדה 91 גבול סוריה, בעיקר לבנון",איסוף קרבי,ניצן,,,,,,,,,
Counter-NBC and purifiers (Res),Counter-NBC and purifiers (Res),,,2001,,,,Counter-NBC and purifiers (Res),Counter-NBC and purifiers (Res),,,Engineering,General,CBRN,,,,,,,,,,,,,,,,,,,,,,
Golani Reconnaissance Battalion 631,Golani Reconnaissance Battalion 631,"גדס""ר גולני",Elite,2001,2018,,,"Golani Engineering company,Reconnaisance Platoon Golani,Golani Anti-Tank Company 1977",Sayeret Golani,,,Infantry,North,Reconnaissance,,,,,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,,,"אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,,,,,,,,,,
Senior General Staff Security Unit,Senior General Staff Security Unit,"צה""ל אבטחת אישים",,2001,,,,Senior General Staff Security Unit,Senior General Staff Security Unit,,,,General,,,,,,,,,,,,,,,,,,,,,,,
Givati Reconnaissance Battalion (Gadsar),Givati Reconnaissance Battalion (Gadsar),"גדס""ר גבעתי גדוד שועלי שמשון",Elite,2002,,,,Givati Reconnaissance Battalion (Gadsar),Givati Reconnaissance Battalion (Gadsar),,,Infantry,South,Reconnaissance Battalion,,,,,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,,,"אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,,,,,"ון אשרוב, עופר וינטר, גיא ביטון, גור שרייבמן, חזי נחמה, אליעד מאור (מואטי)",,,,,
Nahal Reconnaissance Battalion (Gadsar),Nahal Reconnaissance Battalion (Gadsar),"גדס""ר נח""ל",Elite,2002,,,,Nahal Reconnaissance Battalion (Gadsar),Nahal Reconnaissance Battalion (Gadsar),,,Infantry,Center,Reconnaissance Battalion,,,,,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,,,"אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,,,,,,,,,,
Paratroopers Reconnaissance Battalion 5135,Paratroopers Reconnaissance Battalion 5135,"גדס""ר צנחנים 5135 גדוד שרף",Elite,2002,,,,Paratroopers Reconnaissance Battalion (Gadsar),Paratroopers Reconnaissance Battalion (Gadsar),,,Infantry,Center,Reconnaissance Battalion,,,,29.11,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,,"להוביל את חטיבות החי""ר במוכנות ללחימה הקונבנציונאלית ובלחימה היום יומית בשטחי איו""ש ואזח""ע.","אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,"חי""ר",חטיבת הצנחנים,,,,,,,,,
Masada Prison Service,Masada Prison Service,מצדה,,2003,,,,Masada Prison Service,Masada Prison Service,,,Prison Service,,Intervention force,,,,,,,האינתיפאדה השנייה,,השתלטות על  התפרעויות ומהומות בבתי הכלא,"פעילות מסוערבת סיוע לימ""ס",כלל ארצי,"שב""ס",,,,,,,,,,
Samoor platoon,Samoor platoon,"סמו""ר סליקים ומנהרות",,2003,,,,Samoor platoon,Samoor platoon,,,Engineering,South,Caches and tunnels,,,,,,,הופעת המנהרות באיזור רצועת עזה ,,"איתור מנהרות, הריסתן, איתור סליקים, לוחמה בתווך תת קרקעי","בט""ש","עזה, ציר פילדלפי",הנדסה,צוות המנהרות שפעל באיזור עזה משנת 2002,"התמזגה עם יהל""ם ב-2004",,אביב חקאני ,"דימה שוורץ, ניר דרוקר",,מידת היוקרה של צוות המנהרות הראשון הייתה נמוכה ביותר והחיילם,,,
Counter-NBC and purifiers Battalion,Counter-NBC and purifiers Battalion,,,2005,,,,Counter-NBC and purifiers Battalion,Counter-NBC and purifiers Battalion,,,Engineering,South,CBRN,,,,,,,,,,,,,,,,,,,,,,
Israeli Police Border Reconnaisance - South,Israeli Police Border Reconnaisance - South,סיירת מגב דרום,,2008,,,,Israeli Police Border Reconnaisance - South,Israeli Police Border Reconnaisance - South,,,Police,South,COIN,,,,,,,,,,,,,,,,,,,,,,
Rimon 845,Rimon 845,סיירת רימון החדשה,,2010,2015,,,Granade Rimon,"""The 89th """"Oz"""" Brigade""",,,Regional,South,COIN,,,,,,,"מבצע עופרת יצוקה,  התערערות היציבות בגבול עם סיני",,"לחימה ברצועת עזה, ובחדירות המחבלים מחצי האי סיני בעומק הנגב, התמחות בלוחמה במדבר.","מיועדת לטפל באירועי פח""ע בגזרה הדרומית",דרום,"חי""ר",חטיבת גבעתי,,,"רס""ן בני, איש 669 ופלחה""ן גבעתי",,,היחידה פעלה לטפח תרבות ייחודית מיום הקמתה. זיקה ליחידת רימון המקורית אך שמירה על מרחק מזיהוי עמה.,,,
Unit Yanmam Airborne Anti Aircraft Unit,Unit Yanmam Airborne Anti Aircraft Unit,"ינמ""מ ",,2012,,,,Maglan 212,,,,Infantry,General,SAM,,,,,,,,,"הפעלת אמצעי נ""מ ניידים מעבר לקווי אויב לשם הגנה אווירית בזמן מינימלי ליחידות עומק",,,מערך ההגנה האווירית תחת כנף 168,עוצבת האש,,,,,,,,,
"The 89th ""Oz"" Brigade","The 89th ""Oz"" Brigade",,,2015,,,,"Rimon 845,Maglan 212,Egoz Reconnaissance Unit,Duvdevan (Unit 217)",,,,Infantry,,Commando,,,,,,,,,,,,,,,,,,,,,,
Sayeret Charuv 93,Sayeret Charuv 93,סיירת חרוב ,,2017,,,,Sayeret Haruv 484,,,,Regional,,,,,,,,,,,,,,,,,,,,,,,,
Sayeret Golani,Sayeret Golani,,,2018,,,,Golani Reconnaissance Battalion (Gadsar),,,,Infantry,North,Commando,,,,,,,,,,,,,,,,,,,,,,
124 Squadron Rolling Sword Squadron,124 Squadron Rolling Sword Squadron,טייסת החרב המתהפכת,,1958,,,,124 Squadron Rolling Sword Squadron,124 Squadron Rolling Sword Squadron,,,Air force,Tel Nof,Landing of forces,,,,,,,,,,,,,,,,,,,,,,
