Name,Notes,Attachments,Predecessor,Successor,Affiliation,Year Established,Year Disbanded ,Branch,Command,Rrole,References,Bibliography Attachment,Bilbiography,Audio-video,תאריך הקמה,מאפיינים מבצעיים,מאפיינים ארגוניים,נסיבות הקמה,נסיבות פירוק,עוצמת קונפליקט,ייעוד עיקרי,ייעוד משני,בסיס,פיקוד,זרוע,הגדרת תפקיד,תנאי קבלה,תקופת הכשרה,הכשרה,טקטיקה,משך השירות,גודל הקמה,"סד""כ ראשוני",גודל בהמשך,"סד""כ בהמשך",נשק וציוד ייחודי,רכב,מלחמות מבצעים,יחידת אם - לניתוח רשתות,יחידות ממשיכות - לניתוח רשתות,יחידות מתחרות,מייסד היחידה עבור ניתוח רשתות ובדיקת השערת הכרימזה,מפקדים בולטים עבור ניתוח רשתות ובדיקת השערת הכרימזה,מקור השראה,טיפוח תדמית תרבות ארגונית,מידת יוקרה תרבות ארגונית,TOC,Individuals Glossary copy
Bomb Disposal Unit 1970,"יחס""פ - ס""פ",,Bomb Disposal Unit 1970,Bomb Disposal Unit 1970,,1970,1995,Engineering,General,Bomb disposal,,,,,,,,"הכרה של הרמטכ""ל בסלק כמקצוע ייחודי התנדבותי דוגמת טייס או צוללן",,,"ניטרול מטענים במבנים, סילוק תחמושת, פירוק מטענים מתוחכמים, ראשי קרב של טילים",,,עזה,הנדסה,סלק,,,,,,,,,,,,,"יחס""פ",,,מאיר סברייגו,יוסי רפאלוב,,,,,
Granade Rimon Unit 5176,רימון סיירת חופים,,,"Shimshon (Unit 367),Regional Brigade 417",,1970,1971,Regional,Gaza,CT,,,,,,,,"התגברות פח""ע ברצועת עזה",,נמוכה,לחימה בטרור ברצועת עזה,,,דרום,,,,,,"ירי מהיר באקדחים מסוגים שונים, פעילות בדגש על המרחבים האורבניים, יחד עם אנשי שב""כ, במטרה לאתר, לעצור ולחסל מחבלים.",,,,"מחלקת סיור (מילואים) של חטמ""ר הבקעה",,,,,צנחנים,"דובדבן, שמשמון, ימ""ס",,מאיר דגן,,,,נמוכה,,
Reconnaissance Company 679,"פלס""ר חטיבת 679 מילואים",,Reconnaissance Company 679,Reconnaissance Company 679,,1970,,Armor,North,Armor Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaked Chameleon Zikit,זיקית,,Sayeret Shaked 424,Sayeret Shaked 424,Granade Rimon,1970,1970,Regional,Gaza,Preventive,,,,,,,,"התגברות פח""ע ברצועת עזה",,נמוכה,המנעה הסתערבות,,,דרום,,,לוחמים ותיקים בשקד,,,"ניווטים, לש""ב אקדחים ונשק אוטומאטי, סכינים, טכניקות הסתערבות",,,,,,אקדחים,"כלי רכב מקומיים, מוניות",,שקד,,,משה רובין,,,,,,
Unit 5700,יחדת הנחתה קדמית 5700,,Unit 5700,Unit 5700,Command of the Special Air Forces,1972,,Air force,Nevatim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadsar 87 ,גדוד סיור 87,,Gadsar 87,Gadsar 87,,1973,,,,,,,,,,,,מלחמת השחרור,,,,,,,חטיבה 8,,,,,,,,,,,,,,,,,,,,,,,
Natran,יחידת נתרן - תותחנים מוסקים,,Natran,Natran,,1973,1973,Artillery,General,Airborne Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reconnaissance Battalion 87,"גדס""ר 87 מילואים",,Reconnaissance Battalion 87,Reconnaissance Battalion 87,,1973,1974,Armor,South,Armor Reconnaissance,,,,,מאי,,,,הגדוד נפגע קשות בקרבות החוה הסינית עד שחדל להתקיים,גבוהה,,,,,שריון אוגדה 143,,,,,גדוד סיור משוריין,,,,,,,,מלחמת יום כיפור,אוגדה 143,"פלס""ר חטיבת 421",,"בנצי כרמלי, יואב ברום",,"פלס""ר 87 של חטיבה 8 במהלך מלחמת העצמאות",,,,
Reconnaissance Company 421,"פלס""ר 421 מילואים",,Reconnaissance Company 421,Reconnaissance Company 421,,1973,1986,Armor,South,Armor Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חיים רודברג,,,,,,
Sayeret 401 Armored Reconnaissance Company,"פלס""ר 401",,Sayeret 401 Armored Reconnaissance Company,Sayeret 401 Armored Reconnaissance Company,,1973,1974,Armor,Center,Armor Reconnaissance,,,,,,,,הוקמה תוך כדי מלחמת יום הכיפורים,,,,,,,שריון,,,,,,,,,,,,,מלחמת יום כיפור,,,,,,,,,,
Unit 755,"נ""ט 755",,Unit 755,Unit 755,,1973,1973,Artillery,,ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Intelligence Unit - 869 - The Shahaf (Seagull) Battalion,,,Visual Intelligence Unit 1973,Visual Intelligence Unit 1973,,1973,,Field Intelligence,General,Visint,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",Field Intelligence - Daniel Asher.pdf (https://dl.airtable.com/xqrCtpoMRyGxY1kuD0FT_Field%20Intelligence%20-%20Daniel%20Asher.pdf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Intelligence Unit - 869 - The Shahaf (Seagull) Battalion,,,Sayeret Matkal 262 269,,,1973,,Field Intelligence,North,Visint,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps. P. 125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamam Counter-terrorism,"ימ""מ - יחידה מרכזית מיוחדת היחידה ללוחמה בטרור",,Yamam Counter-terrorism,Yamam Counter-terrorism,,1973,,Police,General,CT,"Argaman, Yosef. 1996. The Border: The History of the Border Guard. Tel Aviv: Ministry of Defense.",,,,,,,אירוע מעלות ועדת חורב,,"נמוכה - בט""ש",השתלטות שחרור בני ערובה,"סיוע למשטרה ולשב""כ",,כלל ארצי,"מג""ב",,רובאי 7 או קורס קצינים,,,"יחידה עצמאית, כוללות צוותים מתמחים בפריצה, צליפה, חבלה, כלבנים, קופי טרור",מקוצעי קבע,,,,,"רכש עצמאי ברמת היחידה רובי סער, רובי צלפים, shotgun, תתי מקלעים, אקדחים, רימונים, מטולי לאו, רקטות נגד ביצורים מדגם שיפון תוצרת תע""ש, מטולי רימונים, רימוני הלם, אמצעי ראיית לילה, מערכת דימות תרמית, מערכת למעקב וירי מרחוק, צייני לייזר, מצלמות, אמצעי קשר, אמצעי סילוק פצצות, אמצעי זיהוי עמית-טורף",,,,,,ראובן יעקב (נמרוד),"אסף חפץ, אליק רון, דוד צור",,,גבוהה,,
98th Paratroopers Division,,,98th Paratroopers Division,98th Paratroopers Division,,1974,,Paratroopers,Center,Air assaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,
Battalion for Air Assignments (Shaldag) 5101, שלדג 5101,,Sayeret Matkal 262 269,Battalion for Air Assignments (Shaldag) 5101,,1974,,Intelligence,Center,Deep Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,
Counterterrorism school,"לוט""ר",,Counterterrorism school,Counterterrorism school,,1974,,Infantry,Center,CT,,,,,,,,,,,"הכשרה בתחומי לוט""ר, צלפים, קליעה, טג""ח, הסוואה",פעילות מבצעית עם יחידות אחרות,,מתקן אדם,"חי""ר",,"מאז הקמת חטיבת כפיר, התגייסות לחטיבה וגיבוש",,,,,,,,,,,,,,,עמוס קוצר,,,,,,
General Staff Visual Intelligence Unit,"יחידת תצפיות מטכ""לית ית""מ",,General Staff Visual Intelligence Unit,General Staff Visual Intelligence Unit,,1974,,Field Intelligence,General,Visint,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,,,,,,המלצת ועדת אגרנט על צורך בחיזוק הפן הויזינטי. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golani Anti-Tank Company 1974,עורב גולני,,Golani Anti-Tank Company 1974,Golani Anti-Tank Company 1974,,1974,1975,Infantry,North,ATM,,,,,,,,"לקחי מלחמת יום הכיפורים - מהפיכת הנ""ט",,,"לוחמה נגד טנקים ונגד רק""ם טאו","יחידת חיל רגלים מובחרת למשימות התקפיות מורכבות, בט""ש.",,,"חי""ר",,ריכוז לוחמים מהפלוגות המסייעות של כל גדוד בחטיבה,,,,,,,,,,,,חטיבת גולני,"פלחה""ן גולני, גדס""ר גולני",,מיקי מוסברג,,,,,,
Oketz Unit  Canine Special Forces 7142,עוקץ,,Oketz Unit  Canine Special Forces 7142,Oketz Unit  Canine Special Forces 7142,,1974,,Infantry,Center,Canine,,,,,,,,התגברות הטרור,,,הפעלה ואימון כלבים למשימות לחימה ייעודיות בכל הגזרות ובמיוחד בשטחים. המטרה המבצעית של יחידת עוקץ היא סיכול טרור ומניעת פגיעה בכוחותינו,,סירקין,,,,גיבוש חטיבת כפיר,שמונה עשר חודשים,"רובאי 7 וכן ניווט, לוחמה בטרור, לש""ב ולוחמה בשטח סבוך",,,,,,,,,,,,,,,,,,,
Paratroopers Anti-Tank Company,עורב צנחנים,,Paratroopers Anti-Tank Company,Paratroopers Anti-Tank Company,,1974,2003,ATM,Center,ATM,,,,,,,,"לקחי מלחמת יום הכיפורים - מהפיכת הנ""ט",,,,,,,"חי""ר",,,,,,,,"לוחמים ממחלקות המק""כ (מקלע כבד 0.5 מ""מ) מהפלוגות המסייעות של כל אחד מגדודי הצנחנים.",,,"בתחילת הדרך טילי עורב (טאו) בהמשך הכנסת מערכת ה""זמיר"" לאיתור מטרות וזיהויין, שדרוג טילי ""העורב"" והכנסת ההאמר כפלטפורמת הלחימה",,,חטיבת הצנחנים,"גדס""ר צנחנים",,אמנון דותן ,"יואב גוטסמן, אמיר ברעם, נמרוד אלוני, יאיר גולן, אביב כוכבי",,,,,
Unit 669 Airborne Rescue And Evacuation,669,,Unit 669 Airborne Rescue And Evacuation,Unit 669 Airborne Rescue And Evacuation,Command of the Special Air Forces,1974,,Air force,Air Force,SAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35, 33",
Unit Alpinistim (Res),"אלפיניסטים, סיירת ארז, סיירת החרמונים",,Unit Alpinistim (Res),Unit Alpinistim (Res),,1974,,Regional,North,Rough Terrain,,,,,,,,"פירוק יחידת אגוז, הקשיים של היחידות האחרות בלוחמה בחרמון.",,,לוחמה באיזורים מושלגים,,חרמון,צפון,אוגדה 36,,מילואים,,,,מילואים,,,,,,חתולי שלג,,סיירת אגוז,,,דוד מתג,,,,,,
General Staff Visual Intelligence Unit - Mobile Company,"יחידת תצפיות מטכ""לית ניידת",,"Sayeret Matkal 262 269,Visual Intelligence Unit 1973",,,1976,1980,Field Intelligence,General,Visint,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps. P. 127",,,,,,,,,,,,,"מטכ""לי",איסוף קרבי,,,,,,,,,,,,,,,,,,,,,,,
Battalion for Air Assignments (Shaldag),הגדוד למשימות חיל האוויר,,Battalion for Air Assignments (Shaldag),Battalion for Air Assignments (Shaldag),,1977,,Infantry,Center,Deep Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battalion for Air Assignments (Shaldag) 5101,גדוד ,,Battalion for Air Assignments (Shaldag),Battalion for Air Assignments (Shaldag),,1977,1984,Infantry,Center,Deep Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combat Engineering Reconnaissance Company 605,"מחס""ר מחץ 605 ",,Combat Engineering Reconnaissance Company 605,Combat Engineering Reconnaissance Company 605,,1977,,Engineering,North,,,,,,,,,,,גבוהה נמוכה,"סריקת שטח, איסוף מודיעין הנדסי","בט""ש",,,הנדסה,פלס-סייר,"בעבר לוחמים מצטיינים בגדוד, איתור מיוחד בעת גיבוש יהלם",,,"לוחמה, ניווטים, קורס מודיעין וסיור, הסוואה, פריצה , חבלה וקרב מגע, במסגרת האימון המתקדם.",,,,פלוגה,16 לוחמים,"אמצעי תצפית תרמי ""עמית"" ו""עמית-איכון"", וכן ""ערמון"" - משקפת הנדסית עם מד טווח לייזר, אמצעים מסווגים לניתוח קרקע ורמת עבירות. ",האמרים,,,,,,,,,,,
Golani Anti-Tank Company 1977,עורב גולני,,Golani Anti-Tank Company 1977,Golani Anti-Tank Company 1977,,1977,,Infantry,North,ATM,,,,,,,,,,,"לוחמה נגד טנקים ונגד רק""ם טאו","יחידת חיל רגלים מובחרת למשימות התקפיות מורכבות, בט""ש.",,,,," גיבוש יח""טיות (יחידות חטיבתיות)",,,,,,,,,,,,חטיבת גולני,"גדס""ר גולני",,דני הרמן,"רפי מוסברג, מוטי שפס, יואב שדמה, ציון אוטמזגין, גדי אייזנקוט.",,,,,
Golani Engineer Company,"פלחה""ן גולני סדיר",,Golani Engineer Company,Golani Engineer Company,,1977,,Infantry,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahal Anti-Tank Company (Res),"עורב נח""ל מילואים",,Nahal Anti-Tank Company (Res),Nahal Anti-Tank Company (Res),,1977,,ATM,North,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"הסיירת המיוחדת של צד""ל כוח אבו-ליל",,,,,1978,,,,,,,,,,,,"הסתבכויות מבצעיות ודיפלומטיות של פשיטות צה""ל בלבנון",,,"כוח מיוחד של תושבי דרום לבנון שינהל מלחמת גרילה על פי ההנחיות ותחת הפיקוח של צה""ל",,מרג' עיון,צפון,"מודיעין, צד""ל",,,,,,,,16 לוחמים,,,,,,504,,,יהודה דנגורי,,מייג'ור סעאד חדד ראה ביחידה את פלוגות הלילה המיוחדות של דרום לבנון והשווה את דנגורי לוינגייט.,,,,
Yaltam Underwater Missions ,"ילת""ם יחידה למשימות תת-מימיות",,Defensive Divers 707,,,1978,,Navy,Navy,Defensive Diving,,,,,,,,"הקמה רשימית אפריל 1980. הכרה בצורך ביחידה מקצועית לפעילות תת מימית מקצועית בעיקר איתור כלי טיס שהופלו ואח""י דקר",,,"תיקון של כלי שיט של חיל הים מתחת לפני המים, ריתוך וחיתוך תת-מימי","חבלה וסילוק פצצות תת-מימיות, חילוץ והצלה",,,ים,,גיבוש בן יומיים לחיילים סדירים אך בעיקר חיילי קבע יוצאי השייטת וצוללים מקצועיים שעברו הכשרה לעבודה תת-ימית,12 חודשים ,,"רובאי 02, האימונים כוללים מסעות, צלילות בכל שעות היום והלילה, שחייה למרחקים ארוכים, טילוף-שחייה עם סנפירים, אימוני ניווט תת-מימיים, צלילות ממושכות",,קבוצה קטנה של אנשי קבע בוגרי 707,,,,"פעמוני צלילה, רובוטים לצלילה ולעבודה תת-ימית - הראשון סקורפיון",ספינת אם,,"707, שייטת 13, היחידה המקצועית",,,דני אבינון,,,,,,
Moran ,מורן,,Moran,Moran,,1981,,ATM,South,ATGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israeli Police Border Reconnaisance - North,סיירת מגב צפון,,Israeli Police Border Reconnaisance - North,Israeli Police Border Reconnaisance - North,,1982,,Police,North,Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayeret Yael Combat Engineering Reconnaissance,סיירת יעל,,Unit 630,Yahalom,,1982,,Engineering,General,Engineering,,,,https://news.walla.co.il/item/2627668,,,,לקחי מבצע שלום הגליל,,גבוהה,"כניסה חשאית ופילוס נתיבים בשדות מוקשים וזירות מטענים, פריצת מכשולים, מעבר מכשולי מים, מיקוש והטמנת מטענים, השמדת תשתיות אויב, סיור ואיסוף מודיעין הנדסי","שימוש בחומרי חבלה בפעילות בט""ש",,בעיקר צפון,הנדסה,,,,,"חי""ר, חבלה, הישרדות בתנאי שדה, לוחמה בטרור",,,,שלושה צוותים סדירים בנוסף צוותי מילואים,,,,,אגד הצליחה של חיל ההנדסה,"יהל""ם",,,,,,,,
Border Patrol Reconnaissance Unit - Central District,סיירת מגב מרכז,,Border Patrol Reconnaissance Unit - Central District,Border Patrol Reconnaissance Unit - Central District,,1983,,Police,Center,Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayeret Givati ,סיירת גבעתי,,Sayeret Givati,Sayeret Givati,,1983,2002,Infantry,South,Reconnaissance,,,,,,,,"לקחי מלחמת לבנון הצורך בחטיבת חי""ר נוספת","הקמת גדס""ר גבעתי",,,"אימצה את המורשת של שקד, וכמוה ביקשה להתמחות בפיקוד הדרום התמחות מיוחדת בעזה",,דרום,"חי""ר",,,16 חודשים,,"אימוני חי""ר מתקדמים, לוחמה בטרור, ניווטים, צניחה, סיור",,,,,,,,,,,,,"אילן סופר, אייל שליין, עמית ווינר, דן שוורצפוקס, עמוס גולדמן, אסף שביט, אייל אייזנברג, רז שגיא, בועז זלמונביץ, מוני כץ, מני מוזס, אלדד פלד, טל חרמוני, עופר וינטר, חזי נחמה, גור שרייבמן, לירון ארוך, אמיר זיגדון, ירון סימסולו, חנן בוחבוט, מוטי חיים",,,,,
Sayeret Nahal,"פלס""ר צור בהמשך סיירת נח""ל",,Sayeret Nahal,Sayeret Nahal,,1983,2002,Infantry,Center,Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battalion for Air Assignments (Shaldag) 5101,Battalion for Air Assignments (Shaldag),,Battalion for Air Assignments (Shaldag),Battalion for Air Assignments (Shaldag),Command of the Special Air Forces,1984,,Air force,Palamachim,Deep Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,
Duchiphat Hoopoe Anti-Tank Company 94,"דוכיפת יחידת נ""ט/יחנ""ט 94",,Duchiphat Hoopoe Anti-Tank Company 94,Duchiphat Hoopoe Anti-Tank Company 94,,1984,1992,ATM,Center,ATM,,,,,,,,לקחי מלחמת יום הכיפורים,"מרד ביחידה בשל הפעלתה כיחידת בט""ש ולא נ""ט",גבוהה,"נ""ט טאו","עם פרוץ האינתיפאדה הראשונה בט""ש",,,בסיס ההדרכה של הצנחנים,,,,," טירונות חיל רגלים, טירונות יחידה של שבועיים ואימוני המשך מסלול בלוחמה נגד טנקים, בניווט ובאימוני חיל רגלים מתקדמים",,שתי פלוגות,,"שתי פלוגת נ""ט ופלוגה מסייעת",,,,,,גדוד חיל רגלים ממוכן תחת פיקוד חטיבה 401 של חיל השריון,,,"עופר אילות, שרון דוידוביץ'",,,נמוכה,,
Givati Anti-Tank Company ,עורב גבעתי,,Givati Anti-Tank Company,Givati Anti-Tank Company,,1984,2002,ATM,South,ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Givati Engineer Company,"פלחה""ן גבעתי",,Givati Engineer Company,Givati Engineer Company,,1984,2002,Infantry,South,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Staff Visual Intelligence Unit - Lebanon Company,"יחידת תצפיות מטכ""לית (ית""מ) פלוגה בלבנון",,General Staff Visual Intelligence Unit - Lebanon Company,General Staff Visual Intelligence Unit - Lebanon Company,,1985,,Field Intelligence,North,Visint,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps. P140",Field Intelligence - Daniel Asher 141.jpg (https://dl.airtable.com/QlfCi3fjS66hqRdZ6Ymo_Field%20Intelligence%20-%20Daniel%20Asher%20141.jpg),,,,,,הצורך באיסוף מודיעיני ויזינטי בדרום לבנון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Armored Reconnaissance Company,"פלס""ר 7",,Palsar 7 Armored Reconnaissance Company,Palsar 7 Armored Reconnaissance Company,,1986,,Armor,North,Armor Reconnaissance,,,,,,,,,,גבוהה,"פתיחת תאי שטח לחטיבת השיריון, איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות","הכוונת מסק""רים וכוחות, תקיפת יעדים ועוד",,"מטכ""לי",שריון,,"גיוס לשריון, פרופיל וקב""א גבוהים, גיבוש",14 חודשים,,"טירונות חי""ר עם אגוז, אימון מתקדם, הכשרה ביחידה לוחמה בשטחים שונים, ניווט, הסוואה, איסוף מודיעין קרבי, קורס סיור ייעודי ",,,,,,"חי""ר, אמצעי תצפית וסיור","ג'יפים - חמישיות, האמרים","במלחמת לבנון השניה היחידה הכווינה מסק""רים ולא טנקים","פלס""ר 7","פלס""ר 401, 188",,,,,,בינונית,,
Duvdevan 217,דובדבן,,Duvdevan (Unit 217),Duvdevan (Unit 217),,1986,,Regional,Center,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,
Maglan 212,מגלן 212,,Maglan 212,Maglan 212,,1986,,ATM,Center,ATGM,,,,,,,,לקחי מלחמת יום הכיפורים,,מלחמה קונבנציונאלית,"נ""ט",,,,,,בשלב הראשון פליטי צנחנים בפברואר 1968 התחיל גיוס ישיר,,,,,,,,,,,,,,,,,,,,"39, 37",
Meitar 427,מיתר,,Moran  427,Meitar 427,,1987,2017,ATM,North,ATGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimshon 367,שמשון,,Shimshon (Unit 367),Shimshon (Unit 367),,1987,1996,Regional,South,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,
Israel Police Special Patrol Unit ,"יס""מ",,Israel Police Special Patrol Unit,Israel Police Special Patrol Unit,,1988,,Police,Valleys,CT,,,,,,,,,,"מנמוכה בט""ש",הפרות סדר על רקע בטחוני או פלילי,,,כלל ארצי,משטרת ישראל,,"בוגרי יחידות קרביות, מבדקים מיונים",,,"קורס שוטרים, קורס לוחמי יס""מ",מקצועי,,,,,"רובי סער M16, אקדחי ""יריחו""‏, אמצעים לפיזור הפגנות‏, סולמות‏, אמצעי פריצה","רכבי וואן מדגמי שברולט ""סוואנה"" שעברו הסבה‏, אופנועים, ג'יפים ממוגני ירי, טרקטורונים",,"יל""ס, יחידות להשלטת סדר, מקבילה לסיירת מג""ב",,,שמעון קורן,,,,,,
Unit 7555,יחידה 7555 נהיגה קרבית,,Unit 7555,,,1988,,ATM,South,Combat Driving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOTAR Eilat Counterterrirism (Res) 7707,"לוט""ר אילת",,LOTAR Eilat Counterterrirism (Res),LOTAR Eilat Counterterrirism (Res),,1989,,Regional,South,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gideon Sword Police 33 - Jerusalem District,גדעונים יחידה 33,,Gideon Sword Police - Jerusalem District,Gideon Sword Police - Jerusalem District,,1990,,Police,Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military Police Force 100,כוח 100,,Military Police Force 100,Military Police Force 100,,1990,2006,Military Police,General,,,,,,,,,,,"נמוכה - בט""ש","כוח התערבות מהירה, שיטור בבתי סוהר צבאיים","בזמן שגרה הצוות מסייע במשימות כגון ספירת אסירים, חיפוש בתאים לפי מודיעין - בקרב אסירים בטחוניים מסוכנים (מחבלים).",,לפי מיקום מתקן הכליאה,משטרה צבאית,,"יחידה התנדבותית, מיון, גיבוש",בין 14 ל-18 חודשים,,"טירונות יחידה או אימון הקמה, קורס לוט""ר, מכי""ם, אמצעי אל הרג",,,,,,,,,,,,,,,,,,
Yamas Aravah,"ימ""ס ערבה בעבר עזה מסתערבים ",,Yamas Aravah,Yamas Aravah,,1990,,Police,South,,,,,,,,,,,"נמוכה - בט""ש",צליפה מרדפים מוסקים,סיוע למשטרה מאבק בפשיעה - בתוך ישראל,,דרום,"מג""ב כפיפות לצה""ל",,"גיבוש בן שלושה ימים אחרי שירות בצה""ל",חמישה חודשים ,,,מקצועי קבע,,,,,,,,"השראה: שקד, זיקית, רימון",,,,,,,,36,
Yamas Jerusalem,"ימ""ס ירושלים מסתערבים ",,Yamas Jerusalem,Yamas Jerusalem,,1990,,Police,Jerusalem,,,,,,,,,,,"נמוכה - בט""ש",פעילות מסוערבת,סיוע למשטרה מאבק בפשיעה - בתוך ישראל,,"מזרח ירושלים, מחנות פליטים",,,"גיבוש בן שלושה ימים אחרי שירות בצה""ל",חמישה חודשים ,,,מקצועי קבע,,,,,,,,,,,,,,,,36,
Counter-NBC and purifiers,אנקור,,Counter-NBC and purifiers,Counter-NBC and purifiers,,1991,,Engineering,Center,Reconnaissance,,,,,,,,"במהלך מלחמת המפרץ קבלת נגמ""שי שועלית מגרמניה","החיילים שהפעילו את הנגמ""שים השתחררו ולא נותרו מפעילים בצבא",,"יחידת גו""ז",,,"מטכ""לי",,,,,,,,צוות,"שני חיילים, נגד וקצין, כולם עולים ממדינות חבר העמים",,,,,,,"התמזגה עם יהל""ם ב-2004",,,,,,,,
Nahal Anti-Tank Company ,"פלנ""ט גזית - בהמשך עורב נח""ל",,Nahal Anti-Tank Company,Nahal Anti-Tank Company,,1991,,ATM,Center,ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamas West Bank,"ימ""ס איו""ש מסתערבים ",,,,,1991,,Police,,,,,,,,,,האינתיפאדה הראשונה,,"נמוכה - בט""ש","בט""ש איסוף מודיעין, מעצרים, חיסולים וטיפול בהפרות סדר שונות",סיוע למשטרה מאבק בפשיעה - בתוך ישראל,,גדה מערבית,"מג""ב כפיפות לצה""ל ולשב""כ",,"גיבוש בן שלושה ימים אחרי שירות בצה""ל",חמישה חודשים,,,מקצועי קבע,,,,,,,,"ימ""מ",,,אלי אברהם,,,,,36,
Nahal Engineer Company,"פלחה""ן ספיר נח""ל",,Nahal Engineer Company,Nahal Engineer Company,,1992,,Infantry,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palsar 500 ,"פלס""ר 500 בהמשך פלס""ר 401",,Palsar 500,Palsar 500,,1992,2003,Armor,Center,Armor Reconnaissance,,,,,,,,"עומס הפעילות על פלס""ר 7",,,"תיחת תאי שטח לחטיבת השיריון, איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות","בט""ש",,,שריון,,"גיוס לשריון, פרופיל וקב""א גבוהים, גיבוש",14 חודשים,,"טירונות חי""ר עם הנח""ל, אימון מתקדם, הכשרה ביחידה לוחמה בשטחים שונים, ניווט, הסוואה, איסוף מודיעין קרבי, קורס סיור ייעודי ",,,,,,"חי""ר, אמצעי תצפית וסיור","ג'יפים - חמישיות, האמרים","האינתיפאדה השניה, מלחמת לבנון השניה","פלס""ר 401, פלס""ר 7","פלס""ר 188",,,,,,,,
